state,statefp,county,countyfp,year,month,num_positive_dead_birds
California,06,San Bernardino,071,2007,8,10
California,06,San Joaquin,077,2007,8,9
California,06,Stanislaus,099,2007,8,33
California,06,Tulare,107,2007,8,10
California,06,Fresno,019,2007,9,14
California,06,Kern,029,2007,9,16
California,06,Los Angeles,037,2007,9,63
California,06,Merced,047,2007,9,6
California,06,Orange,059,2007,9,16
California,06,Placer,061,2007,9,4
California,06,Riverside,065,2007,9,3
California,06,Sacramento,067,2007,9,42
California,06,San Bernardino,071,2007,9,12
California,06,San Joaquin,077,2007,9,10
California,06,Solano,095,2007,9,2
California,06,Stanislaus,099,2007,9,16
California,06,Tulare,107,2007,9,16
California,06,Fresno,019,2007,10,2
California,06,Kern,029,2007,10,1
California,06,Los Angeles,037,2007,10,7
California,06,Merced,047,2007,10,1
California,06,Orange,059,2007,10,7
California,06,Sacramento,067,2007,10,10
California,06,San Joaquin,077,2007,10,5
California,06,Stanislaus,099,2007,10,3
California,06,Tulare,107,2007,10,5
California,06,Fresno,019,2007,11,1
California,06,Los Angeles,037,2007,11,5
California,06,Orange,059,2007,11,9
California,06,Tulare,107,2007,11,1
California,06,Los Angeles,037,2007,12,2
California,06,Orange,059,2007,12,2
California,06,Kern,029,2008,3,1
California,06,Los Angeles,037,2008,3,1
California,06,Sacramento,067,2008,3,1
California,06,Los Angeles,037,2008,4,1
California,06,Orange,059,2008,4,2
California,06,Los Angeles,037,2008,5,9
California,06,Orange,059,2008,5,40
California,06,Riverside,065,2008,5,1
California,06,Sacramento,067,2008,5,2
California,06,San Bernardino,071,2008,5,5
California,06,San Joaquin,077,2008,5,1
California,06,Stanislaus,099,2008,5,1
California,06,Tulare,107,2008,5,13
California,06,Fresno,019,2008,6,3
California,06,Kern,029,2008,6,2
California,06,Los Angeles,037,2008,6,35
California,06,Orange,059,2008,6,78
California,06,Riverside,065,2008,6,4
California,06,Sacramento,067,2008,6,13
California,06,San Bernardino,071,2008,6,5
California,06,San Joaquin,077,2008,6,19
California,06,Solano,095,2008,6,2
California,06,Stanislaus,099,2008,6,7
California,06,Tulare,107,2008,6,19
California,06,Fresno,019,2008,7,6
California,06,Kern,029,2008,7,3
California,06,Los Angeles,037,2008,7,112
California,06,Merced,047,2008,7,1
California,06,Orange,059,2008,7,187
California,06,Placer,061,2008,7,2
California,06,Riverside,065,2008,7,13
California,06,Sacramento,067,2008,7,46
California,06,San Bernardino,071,2008,7,48
California,06,San Joaquin,077,2008,7,34
California,06,Solano,095,2008,7,4
California,06,Stanislaus,099,2008,7,15
California,06,Tulare,107,2008,7,37
California,06,Fresno,019,2008,8,7
California,06,Kern,029,2008,8,2
California,06,Los Angeles,037,2008,8,164
California,06,Merced,047,2008,8,1
California,06,Orange,059,2008,8,212
California,06,Placer,061,2008,8,1
California,06,Riverside,065,2008,8,18
California,06,Sacramento,067,2008,8,35
California,06,San Bernardino,071,2008,8,81
California,06,San Joaquin,077,2008,8,7
California,06,Solano,095,2008,8,1
California,06,Stanislaus,099,2008,8,9
California,06,Tulare,107,2008,8,2
California,06,Fresno,019,2008,9,19
California,06,Kern,029,2008,9,2
California,06,Los Angeles,037,2008,9,118
California,06,Merced,047,2008,9,3
California,06,Orange,059,2008,9,83
California,06,Riverside,065,2008,9,3
California,06,Sacramento,067,2008,9,29
California,06,San Bernardino,071,2008,9,30
California,06,San Joaquin,077,2008,9,8
California,06,Stanislaus,099,2008,9,13
California,06,Tulare,107,2008,9,4
California,06,Fresno,019,2008,10,9
California,06,Los Angeles,037,2008,10,40
California,06,Orange,059,2008,10,20
California,06,Placer,061,2008,10,1
California,06,Sacramento,067,2008,10,4
California,06,San Bernardino,071,2008,10,7
California,06,Tulare,107,2008,10,1
California,06,Los Angeles,037,2008,11,1
California,06,Orange,059,2008,11,10
California,06,Orange,059,2009,2,1
California,06,Fresno,019,2009,3,1
California,06,Orange,059,2009,3,1
California,06,Fresno,019,2009,4,1
California,06,Los Angeles,037,2009,4,1
California,06,Fresno,019,2009,5,11
California,06,Kern,029,2009,5,1
California,06,Los Angeles,037,2009,5,2
California,06,Orange,059,2009,5,2
California,06,San Joaquin,077,2009,5,1
California,06,Fresno,019,2009,6,21
California,06,Kern,029,2009,6,11
California,06,Los Angeles,037,2009,6,18
California,06,Merced,047,2009,6,1
California,06,Orange,059,2009,6,1
California,06,Riverside,065,2009,6,1
California,06,Sacramento,067,2009,6,5
California,06,San Bernardino,071,2009,6,3
California,06,San Joaquin,077,2009,6,1
California,06,Stanislaus,099,2009,6,2
California,06,Tulare,107,2009,6,1
California,06,Fresno,019,2009,7,14
California,06,Kern,029,2009,7,12
California,06,Los Angeles,037,2009,7,21
California,06,Merced,047,2009,7,1
California,06,Orange,059,2009,7,2
California,06,Placer,061,2009,7,3
California,06,Sacramento,067,2009,7,5
California,06,San Bernardino,071,2009,7,4
California,06,San Joaquin,077,2009,7,12
California,06,Solano,095,2009,7,1
California,06,Stanislaus,099,2009,7,9
California,06,Tulare,107,2009,7,11
California,06,Fresno,019,2009,8,10
California,06,Kern,029,2009,8,3
California,06,Los Angeles,037,2009,8,15
California,06,Merced,047,2009,8,2
California,06,Placer,061,2009,8,1
California,06,Sacramento,067,2009,8,7
California,06,San Bernardino,071,2009,8,4
California,06,San Joaquin,077,2009,8,7
California,06,Solano,095,2009,8,1
California,06,Stanislaus,099,2009,8,12
California,06,Tulare,107,2009,8,10
California,06,Fresno,019,2009,9,1
California,06,Los Angeles,037,2009,9,15
California,06,Merced,047,2009,9,4
California,06,Orange,059,2009,9,1
California,06,Riverside,065,2009,9,1
California,06,Sacramento,067,2009,9,7
California,06,San Bernardino,071,2009,9,6
California,06,San Joaquin,077,2009,9,1
California,06,Solano,095,2009,9,1
California,06,Stanislaus,099,2009,9,4
California,06,Tulare,107,2009,9,3
California,06,Kern,029,2009,10,1
California,06,Los Angeles,037,2009,10,8
California,06,Merced,047,2009,10,1
California,06,Orange,059,2009,10,2
California,06,Sacramento,067,2009,10,4
California,06,San Joaquin,077,2009,10,1
California,06,Stanislaus,099,2009,10,1
California,06,Los Angeles,037,2009,11,2
California,06,Los Angeles,037,2010,2,1
California,06,Los Angeles,037,2010,3,1
California,06,Los Angeles,037,2010,5,1
California,06,Orange,059,2010,5,1
California,06,Fresno,019,2010,6,1
California,06,Los Angeles,037,2010,6,4
California,06,Merced,047,2010,6,3
California,06,Orange,059,2010,6,1
California,06,Placer,061,2010,6,1
California,06,Sacramento,067,2010,6,6
California,06,San Bernardino,071,2010,6,1
California,06,Stanislaus,099,2010,6,4
California,06,Fresno,019,2010,7,12
California,06,Kern,029,2010,7,9
California,06,Los Angeles,037,2010,7,3
California,06,Merced,047,2010,7,7
California,06,Orange,059,2010,7,2
California,06,Placer,061,2010,7,2
California,06,Sacramento,067,2010,7,55
California,06,San Joaquin,077,2010,7,20
California,06,Stanislaus,099,2010,7,15
California,06,Tulare,107,2010,7,6
California,06,Fresno,019,2010,8,6
California,06,Kern,029,2010,8,2
California,06,Los Angeles,037,2010,8,15
California,06,Merced,047,2010,8,3
California,06,Orange,059,2010,8,5
California,06,Placer,061,2010,8,3
California,06,Sacramento,067,2010,8,30
California,06,San Bernardino,071,2010,8,3
California,06,San Joaquin,077,2010,8,5
California,06,Stanislaus,099,2010,8,9
California,06,Tulare,107,2010,8,8
California,06,Fresno,019,2010,9,3
California,06,Los Angeles,037,2010,9,11
California,06,Merced,047,2010,9,1
California,06,Orange,059,2010,9,3
California,06,Placer,061,2010,9,1
California,06,Riverside,065,2010,9,1
California,06,Sacramento,067,2010,9,23
California,06,San Bernardino,071,2010,9,5
California,06,San Joaquin,077,2010,9,1
California,06,Stanislaus,099,2010,9,4
California,06,Tulare,107,2010,9,7
California,06,Kern,029,2010,10,1
California,06,Los Angeles,037,2010,10,3
California,06,Orange,059,2010,10,3
California,06,Placer,061,2010,10,2
California,06,Sacramento,067,2010,10,1
California,06,San Bernardino,071,2010,10,1
California,06,Solano,095,2010,10,1
California,06,Stanislaus,099,2010,10,2
California,06,Kern,029,2010,11,1
California,06,Los Angeles,037,2010,11,2
California,06,Orange,059,2010,11,1
California,06,Orange,059,2010,12,1
California,06,Sacramento,067,2011,2,1
California,06,Orange,059,2011,4,1
California,06,Los Angeles,037,2011,5,1
California,06,Orange,059,2011,5,1
California,06,Tulare,107,2011,5,2
California,06,Los Angeles,037,2011,6,14
California,06,Orange,059,2011,6,2
California,06,Riverside,065,2011,6,1
California,06,Tulare,107,2011,6,7
California,06,Fresno,019,2011,7,6
California,06,Los Angeles,037,2011,7,45
California,06,Orange,059,2011,7,6
California,06,Placer,061,2011,7,1
California,06,Sacramento,067,2011,7,19
California,06,San Bernardino,071,2011,7,1
California,06,San Joaquin,077,2011,7,3
California,06,Stanislaus,099,2011,7,3
California,06,Tulare,107,2011,7,18
California,06,Fresno,019,2011,8,6
California,06,Kern,029,2011,8,3
California,06,Los Angeles,037,2011,8,98
California,06,Merced,047,2011,8,2
California,06,Orange,059,2011,8,8
California,06,Placer,061,2011,8,2
California,06,Riverside,065,2011,8,2
California,06,Sacramento,067,2011,8,50
California,06,San Bernardino,071,2011,8,15
California,06,San Joaquin,077,2011,8,9
California,06,Stanislaus,099,2011,8,6
California,06,Tulare,107,2011,8,8
California,06,Fresno,019,2011,9,3
California,06,Los Angeles,037,2011,9,55
California,06,Merced,047,2011,9,6
California,06,Orange,059,2011,9,21
California,06,Placer,061,2011,9,6
California,06,Riverside,065,2011,9,3
California,06,Sacramento,067,2011,9,53
California,06,San Bernardino,071,2011,9,14
California,06,San Joaquin,077,2011,9,10
California,06,Stanislaus,099,2011,9,13
California,06,Tulare,107,2011,9,5
California,06,Los Angeles,037,2011,10,12
California,06,Merced,047,2011,10,1
California,06,Orange,059,2011,10,8
California,06,Placer,061,2011,10,1
California,06,Riverside,065,2011,10,1
California,06,Sacramento,067,2011,10,11
California,06,San Bernardino,071,2011,10,3
California,06,San Joaquin,077,2011,10,5
California,06,Solano,095,2011,10,1
California,06,Stanislaus,099,2011,10,2
California,06,Tulare,107,2011,10,2
California,06,Kern,029,2011,11,1
California,06,Los Angeles,037,2011,11,1
California,06,Orange,059,2011,11,1
California,06,Los Angeles,037,2011,12,1
California,06,Orange,059,2011,12,2
California,06,Sacramento,067,2012,1,1
California,06,Los Angeles,037,2012,2,1
California,06,Sacramento,067,2012,4,1
California,06,Los Angeles,037,2012,5,1
California,06,Merced,047,2012,5,1
California,06,Sacramento,067,2012,5,24
California,06,San Joaquin,077,2012,5,5
California,06,Stanislaus,099,2012,5,2
California,06,Fresno,019,2012,6,7
California,06,Kern,029,2012,6,4
California,06,Los Angeles,037,2012,6,6
California,06,Merced,047,2012,6,7
California,06,Orange,059,2012,6,1
California,06,Riverside,065,2012,6,1
California,06,Sacramento,067,2012,6,171
California,06,San Joaquin,077,2012,6,11
California,06,Solano,095,2012,6,7
California,06,Stanislaus,099,2012,6,10
California,06,Tulare,107,2012,6,16
California,06,Fresno,019,2012,7,3
California,06,Kern,029,2012,7,8
California,06,Los Angeles,037,2012,7,27
California,06,Merced,047,2012,7,6
California,06,Orange,059,2012,7,5
California,06,Placer,061,2012,7,14
California,06,Riverside,065,2012,7,1
California,06,Sacramento,067,2012,7,133
California,06,San Bernardino,071,2012,7,4
California,06,San Joaquin,077,2012,7,18
California,06,Solano,095,2012,7,9
California,06,Stanislaus,099,2012,7,12
California,06,Tulare,107,2012,7,24
California,06,Fresno,019,2012,8,7
California,06,Kern,029,2012,8,2
California,06,Los Angeles,037,2012,8,72
California,06,Merced,047,2012,8,20
California,06,Orange,059,2012,8,28
California,06,Placer,061,2012,8,29
California,06,Riverside,065,2012,8,1
California,06,Sacramento,067,2012,8,113
California,06,San Bernardino,071,2012,8,16
California,06,San Joaquin,077,2012,8,11
California,06,Solano,095,2012,8,5
California,06,Stanislaus,099,2012,8,13
California,06,Tulare,107,2012,8,6
California,06,Fresno,019,2012,9,7
California,06,Los Angeles,037,2012,9,98
California,06,Merced,047,2012,9,7
California,06,Orange,059,2012,9,36
California,06,Placer,061,2012,9,14
California,06,Sacramento,067,2012,9,21
California,06,San Bernardino,071,2012,9,13
California,06,San Joaquin,077,2012,9,11
California,06,Solano,095,2012,9,7
California,06,Stanislaus,099,2012,9,12
California,06,Tulare,107,2012,9,6
California,06,Fresno,019,2012,10,1
California,06,Los Angeles,037,2012,10,55
California,06,Merced,047,2012,10,1
California,06,Orange,059,2012,10,18
California,06,Placer,061,2012,10,3
California,06,Riverside,065,2012,10,1
California,06,San Bernardino,071,2012,10,6
California,06,San Joaquin,077,2012,10,1
California,06,Stanislaus,099,2012,10,2
California,06,Tulare,107,2012,10,2
California,06,Los Angeles,037,2012,11,11
California,06,Orange,059,2012,11,2
California,06,Riverside,065,2012,11,1
California,06,Sacramento,067,2012,11,2
California,06,San Joaquin,077,2012,11,1
California,06,Los Angeles,037,2013,2,1
California,06,Fresno,019,2013,5,1
California,06,Los Angeles,037,2013,5,6
California,06,Merced,047,2013,5,3
California,06,Orange,059,2013,5,1
California,06,Sacramento,067,2013,5,2
California,06,San Joaquin,077,2013,5,2
California,06,Fresno,019,2013,6,3
California,06,Kern,029,2013,6,1
California,06,Los Angeles,037,2013,6,42
California,06,Merced,047,2013,6,10
California,06,Orange,059,2013,6,1
California,06,Placer,061,2013,6,2
California,06,Sacramento,067,2013,6,15
California,06,San Bernardino,071,2013,6,1
California,06,San Joaquin,077,2013,6,2
California,06,Solano,095,2013,6,2
California,06,Stanislaus,099,2013,6,3
California,06,Fresno,019,2013,7,2
California,06,Kern,029,2013,7,1
California,06,Los Angeles,037,2013,7,146
California,06,Merced,047,2013,7,11
California,06,Orange,059,2013,7,2
California,06,Placer,061,2013,7,12
California,06,Riverside,065,2013,7,11
California,06,Sacramento,067,2013,7,73
California,06,San Bernardino,071,2013,7,6
California,06,San Joaquin,077,2013,7,17
California,06,Solano,095,2013,7,6
California,06,Stanislaus,099,2013,7,5
California,06,Tulare,107,2013,7,2
California,06,Fresno,019,2013,8,2
California,06,Los Angeles,037,2013,8,99
California,06,Merced,047,2013,8,10
California,06,Orange,059,2013,8,19
California,06,Placer,061,2013,8,14
California,06,Riverside,065,2013,8,7
California,06,Sacramento,067,2013,8,47
California,06,San Bernardino,071,2013,8,16
California,06,San Joaquin,077,2013,8,7
California,06,Solano,095,2013,8,3
California,06,Stanislaus,099,2013,8,5
California,06,Tulare,107,2013,8,1
California,06,Fresno,019,2013,9,2
California,06,Los Angeles,037,2013,9,10
California,06,Merced,047,2013,9,5
California,06,Orange,059,2013,9,9
California,06,Placer,061,2013,9,10
California,06,Riverside,065,2013,9,4
California,06,Sacramento,067,2013,9,33
California,06,San Bernardino,071,2013,9,14
California,06,San Joaquin,077,2013,9,5
California,06,Solano,095,2013,9,4
California,06,Tulare,107,2013,9,3
California,06,Fresno,019,2013,10,1
California,06,Los Angeles,037,2013,10,7
California,06,Orange,059,2013,10,9
California,06,Placer,061,2013,10,1
California,06,Sacramento,067,2013,10,9
California,06,San Bernardino,071,2013,10,1
California,06,San Joaquin,077,2013,10,1
California,06,Tulare,107,2013,10,1
California,06,Fresno,019,2013,11,1
California,06,Los Angeles,037,2013,11,2
California,06,Orange,059,2013,11,1
California,06,Orange,059,2013,12,1
California,06,San Joaquin,077,2014,1,1
California,06,Los Angeles,037,2014,2,2
California,06,San Bernardino,071,2014,4,2
California,06,Fresno,019,2014,5,2
California,06,Orange,059,2014,5,6
California,06,Sacramento,067,2014,5,1
California,06,Solano,095,2014,5,2
California,06,Stanislaus,099,2014,5,3
California,06,Tulare,107,2014,5,11
California,06,Fresno,019,2014,6,1
California,06,Los Angeles,037,2014,6,1
California,06,Orange,059,2014,6,11
California,06,Placer,061,2014,6,4
California,06,Sacramento,067,2014,6,59
California,06,San Bernardino,071,2014,6,1
California,06,San Joaquin,077,2014,6,7
California,06,Solano,095,2014,6,9
California,06,Stanislaus,099,2014,6,7
California,06,Tulare,107,2014,6,17
California,06,Fresno,019,2014,7,5
California,06,Kern,029,2014,7,2
California,06,Los Angeles,037,2014,7,9
California,06,Orange,059,2014,7,74
California,06,Placer,061,2014,7,13
California,06,Sacramento,067,2014,7,128
California,06,San Bernardino,071,2014,7,5
California,06,San Joaquin,077,2014,7,18
California,06,Solano,095,2014,7,17
California,06,Stanislaus,099,2014,7,11
California,06,Tulare,107,2014,7,7
California,06,Fresno,019,2014,8,1
California,06,Kern,029,2014,8,1
California,06,Los Angeles,037,2014,8,36
California,06,Merced,047,2014,8,2
California,06,Orange,059,2014,8,155
California,06,Placer,061,2014,8,18
California,06,Riverside,065,2014,8,1
California,06,Sacramento,067,2014,8,67
California,06,San Bernardino,071,2014,8,5
California,06,San Joaquin,077,2014,8,15
California,06,Solano,095,2014,8,4
California,06,Stanislaus,099,2014,8,16
California,06,Tulare,107,2014,8,5
California,06,Los Angeles,037,2014,9,40
California,06,Merced,047,2014,9,6
California,06,Orange,059,2014,9,118
California,06,Placer,061,2014,9,4
California,06,Sacramento,067,2014,9,34
California,06,San Bernardino,071,2014,9,4
California,06,San Joaquin,077,2014,9,11
California,06,Solano,095,2014,9,1
California,06,Stanislaus,099,2014,9,10
California,06,Los Angeles,037,2014,10,11
California,06,Orange,059,2014,10,58
California,06,Placer,061,2014,10,1
California,06,Sacramento,067,2014,10,5
California,06,San Joaquin,077,2014,10,1
California,06,Orange,059,2014,11,9
California,06,Riverside,065,2015,5,2
California,06,San Bernardino,071,2015,5,1
California,06,Solano,095,2015,5,1
California,06,Stanislaus,099,2015,5,1
California,06,Tulare,107,2015,5,1
California,06,Los Angeles,037,2015,6,2
California,06,Orange,059,2015,6,5
California,06,Riverside,065,2015,6,4
California,06,Sacramento,067,2015,6,7
California,06,San Bernardino,071,2015,6,1
California,06,San Joaquin,077,2015,6,1
California,06,Stanislaus,099,2015,6,3
California,06,Tulare,107,2015,6,10
California,06,Kern,029,2015,7,1
California,06,Los Angeles,037,2015,7,1
California,06,Merced,047,2015,7,1
California,06,Orange,059,2015,7,5
California,06,Placer,061,2015,7,4
California,06,Riverside,065,2015,7,14
California,06,Sacramento,067,2015,7,20
California,06,San Bernardino,071,2015,7,2
California,06,San Joaquin,077,2015,7,6
California,06,Solano,095,2015,7,3
California,06,Stanislaus,099,2015,7,5
California,06,Tulare,107,2015,7,8
California,06,Fresno,019,2015,8,3
California,06,Los Angeles,037,2015,8,15
California,06,Orange,059,2015,8,22
California,06,Placer,061,2015,8,7
California,06,Riverside,065,2015,8,28
California,06,Sacramento,067,2015,8,41
California,06,San Bernardino,071,2015,8,13
California,06,San Joaquin,077,2015,8,5
California,06,Solano,095,2015,8,3
California,06,Stanislaus,099,2015,8,4
California,06,Tulare,107,2015,8,3
California,06,Los Angeles,037,2015,9,29
California,06,Merced,047,2015,9,1
California,06,Orange,059,2015,9,24
California,06,Placer,061,2015,9,10
California,06,Riverside,065,2015,9,25
California,06,Sacramento,067,2015,9,26
California,06,San Bernardino,071,2015,9,6
California,06,San Joaquin,077,2015,9,4
California,06,Solano,095,2015,9,2
California,06,Los Angeles,037,2015,10,24
California,06,Merced,047,2015,10,1
California,06,Orange,059,2015,10,20
California,06,Riverside,065,2015,10,9
California,06,Sacramento,067,2015,10,9
California,06,San Bernardino,071,2015,10,2
California,06,San Joaquin,077,2015,10,2
California,06,Solano,095,2015,10,1
California,06,Stanislaus,099,2015,10,1
California,06,Tulare,107,2015,10,1
California,06,Los Angeles,037,2015,11,27
California,06,Orange,059,2015,11,7
California,06,Los Angeles,037,2015,12,5
California,06,Los Angeles,037,2016,2,1
California,06,Los Angeles,037,2016,4,1
California,06,Solano,095,2016,4,1
California,06,Los Angeles,037,2016,5,7
California,06,Orange,059,2016,5,5
California,06,Sacramento,067,2016,5,8
California,06,Fresno,019,2016,6,2
California,06,Los Angeles,037,2016,6,19
California,06,Orange,059,2016,6,5
California,06,Placer,061,2016,6,1
California,06,Riverside,065,2016,6,2
California,06,Sacramento,067,2016,6,167
California,06,San Bernardino,071,2016,6,1
California,06,San Joaquin,077,2016,6,10
California,06,Stanislaus,099,2016,6,2
California,06,Fresno,019,2016,7,1
California,06,Los Angeles,037,2016,7,19
California,06,Merced,047,2016,7,3
California,06,Orange,059,2016,7,12
California,06,Placer,061,2016,7,11
California,06,Riverside,065,2016,7,4
California,06,Sacramento,067,2016,7,151
California,06,San Joaquin,077,2016,7,11
California,06,Stanislaus,099,2016,7,4
California,06,Tulare,107,2016,7,1
California,06,Fresno,019,2016,8,3
California,06,Los Angeles,037,2016,8,54
California,06,Merced,047,2016,8,2
California,06,Orange,059,2016,8,39
California,06,Placer,061,2016,8,11
California,06,Riverside,065,2016,8,6
California,06,Sacramento,067,2016,8,74
California,06,San Bernardino,071,2016,8,3
California,06,San Joaquin,077,2016,8,14
California,06,Solano,095,2016,8,5
California,06,Stanislaus,099,2016,8,4
California,06,Tulare,107,2016,8,2
California,06,Los Angeles,037,2016,9,14
California,06,Orange,059,2016,9,21
California,06,Placer,061,2016,9,5
California,06,Riverside,065,2016,9,4
California,06,Sacramento,067,2016,9,11
California,06,San Bernardino,071,2016,9,1
California,06,San Joaquin,077,2016,9,2
California,06,Solano,095,2016,9,7
California,06,Stanislaus,099,2016,9,3
California,06,Los Angeles,037,2016,10,6
California,06,Orange,059,2016,10,4
California,06,Placer,061,2016,10,2
California,06,Stanislaus,099,2016,10,1
California,06,Los Angeles,037,2016,11,3
California,06,Orange,059,2016,11,4
California,06,Orange,059,2016,12,1
California,06,Orange,059,2017,1,1
California,06,Kern,029,2017,5,1
California,06,Los Angeles,037,2017,5,3
California,06,Orange,059,2017,5,1
California,06,Riverside,065,2017,5,1
California,06,Sacramento,067,2017,5,6
California,06,Tulare,107,2017,5,1
California,06,Los Angeles,037,2017,6,4
California,06,Orange,059,2017,6,3
California,06,Riverside,065,2017,6,3
California,06,Sacramento,067,2017,6,9
California,06,San Bernardino,071,2017,6,8
California,06,San Joaquin,077,2017,6,1
California,06,Tulare,107,2017,6,4
California,06,Fresno,019,2017,7,2
California,06,Kern,029,2017,7,2
California,06,Los Angeles,037,2017,7,20
California,06,Orange,059,2017,7,6
California,06,Placer,061,2017,7,1
California,06,Riverside,065,2017,7,16
California,06,Sacramento,067,2017,7,17
California,06,San Bernardino,071,2017,7,11
California,06,San Joaquin,077,2017,7,4
California,06,Stanislaus,099,2017,7,2
California,06,Tulare,107,2017,7,3
California,06,Fresno,019,2017,8,2
California,06,Los Angeles,037,2017,8,29
California,06,Merced,047,2017,8,1
California,06,Orange,059,2017,8,22
California,06,Riverside,065,2017,8,8
California,06,Sacramento,067,2017,8,26
California,06,San Bernardino,071,2017,8,15
California,06,San Joaquin,077,2017,8,2
California,06,Solano,095,2017,8,1
California,06,Stanislaus,099,2017,8,2
California,06,Fresno,019,2017,9,1
California,06,Los Angeles,037,2017,9,32
California,06,Orange,059,2017,9,21
California,06,Placer,061,2017,9,2
California,06,Riverside,065,2017,9,12
California,06,Sacramento,067,2017,9,22
California,06,San Bernardino,071,2017,9,10
California,06,Solano,095,2017,9,1
California,06,Stanislaus,099,2017,9,2
California,06,Los Angeles,037,2017,10,9
California,06,Placer,061,2017,10,1
California,06,Riverside,065,2017,10,1
California,06,Sacramento,067,2017,10,6
California,06,San Bernardino,071,2017,10,1
California,06,Solano,095,2017,10,2
California,06,Los Angeles,037,2017,11,4
California,06,Orange,059,2017,11,3
California,06,Los Angeles,037,2018,5,1
California,06,Sacramento,067,2018,5,3
California,06,Los Angeles,037,2018,6,1
California,06,Riverside,065,2018,6,2
California,06,Sacramento,067,2018,6,18
California,06,San Joaquin,077,2018,6,1
California,06,Stanislaus,099,2018,6,1
California,06,Los Angeles,037,2018,7,1
California,06,Orange,059,2018,7,1
