state,statefp,county,countyfp,year,month,num_tested_chickens,num_tested_flocks,num_positive_chickens
California,06,Riverside,065,2004,10,352,21,147
California,06,Sacramento,067,2004,10,10,4,9
California,06,San Bernardino,071,2004,10,216,16,112
California,06,San Joaquin,077,2004,10,72,6,11
California,06,Solano,095,2004,10,24,2,0
California,06,Stanislaus,099,2004,10,100,9,12
California,06,Tulare,107,2004,10,92,8,11
California,06,Fresno,019,2004,11,84,8,7
California,06,Kern,029,2004,11,20,2,0
California,06,Los Angeles,037,2004,11,278,25,111
California,06,Merced,047,2004,11,30,5,0
California,06,Orange,059,2004,11,10,1,3
California,06,Placer,061,2004,11,57,6,25
California,06,Riverside,065,2004,11,352,21,149
California,06,San Bernardino,071,2004,11,216,16,116
California,06,San Joaquin,077,2004,11,48,4,0
California,06,Solano,095,2004,11,24,2,0
California,06,Stanislaus,099,2004,11,84,7,9
California,06,Tulare,107,2004,11,10,1,0
California,06,Fresno,019,2004,12,63,6,6
California,06,Los Angeles,037,2004,12,163,11,62
California,06,Merced,047,2004,12,30,5,0
California,06,Riverside,065,2004,12,65,5,46
California,06,San Bernardino,071,2004,12,216,16,116
California,06,Stanislaus,099,2004,12,84,7,9
California,06,Los Angeles,037,2005,1,146,7,0
California,06,Merced,047,2005,1,30,5,0
California,06,Riverside,065,2005,1,46,3,0
California,06,San Bernardino,071,2005,1,216,16,0
California,06,Stanislaus,099,2005,1,84,7,0
California,06,Merced,047,2005,2,30,5,0
California,06,Riverside,065,2005,2,46,3,0
California,06,San Bernardino,071,2005,2,188,14,1
California,06,Stanislaus,099,2005,2,84,7,0
California,06,Kern,029,2005,3,6,1,0
California,06,Los Angeles,037,2005,3,178,17,0
California,06,Orange,059,2005,3,10,1,0
California,06,Riverside,065,2005,3,417,20,0
California,06,San Bernardino,071,2005,3,208,19,0
California,06,Fresno,019,2005,4,107,10,0
California,06,Kern,029,2005,4,176,15,0
California,06,Los Angeles,037,2005,4,178,17,0
California,06,Merced,047,2005,4,60,8,0
California,06,Orange,059,2005,4,10,1,0
California,06,Riverside,065,2005,4,417,20,0
California,06,San Bernardino,071,2005,4,208,19,0
California,06,Solano,095,2005,4,36,3,0
California,06,Stanislaus,099,2005,4,136,9,0
California,06,Tulare,107,2005,4,80,8,0
California,06,Fresno,019,2005,5,107,10,0
California,06,Kern,029,2005,5,176,15,0
California,06,Los Angeles,037,2005,5,178,17,2
California,06,Merced,047,2005,5,60,8,0
California,06,Orange,059,2005,5,10,1,0
California,06,Riverside,065,2005,5,417,20,0
California,06,San Bernardino,071,2005,5,208,19,0
California,06,San Joaquin,077,2005,5,60,6,0
California,06,Solano,095,2005,5,36,3,0
California,06,Stanislaus,099,2005,5,136,9,0
California,06,Tulare,107,2005,5,80,8,0
California,06,Fresno,019,2005,6,107,10,0
California,06,Kern,029,2005,6,176,15,4
California,06,Los Angeles,037,2005,6,178,17,4
California,06,Merced,047,2005,6,60,8,0
California,06,Orange,059,2005,6,10,1,0
California,06,Riverside,065,2005,6,417,20,4
California,06,San Bernardino,071,2005,6,208,19,0
California,06,Solano,095,2005,6,36,3,0
California,06,Stanislaus,099,2005,6,136,9,0
California,06,Tulare,107,2005,6,80,8,2
California,06,Fresno,019,2005,7,107,10,5
California,06,Kern,029,2005,7,176,15,50
California,06,Los Angeles,037,2005,7,180,19,14
California,06,Merced,047,2005,7,60,8,19
California,06,Orange,059,2005,7,10,1,0
California,06,Placer,061,2005,7,2,1,2
California,06,Riverside,065,2005,7,417,20,39
California,06,Sacramento,067,2005,7,5,1,2
California,06,San Bernardino,071,2005,7,208,19,13
California,06,San Joaquin,077,2005,7,10,1,1
California,06,Solano,095,2005,7,36,3,6
California,06,Stanislaus,099,2005,7,136,9,3
California,06,Tulare,107,2005,7,80,8,19
California,06,Fresno,019,2005,8,107,10,62
California,06,Kern,029,2005,8,170,14,102
California,06,Los Angeles,037,2005,8,177,20,55
California,06,Merced,047,2005,8,60,9,37
California,06,Orange,059,2005,8,10,1,2
California,06,Riverside,065,2005,8,417,20,104
California,06,Sacramento,067,2005,8,9,4,9
California,06,San Bernardino,071,2005,8,208,19,70
California,06,San Joaquin,077,2005,8,10,1,9
California,06,Solano,095,2005,8,36,3,23
California,06,Stanislaus,099,2005,8,136,9,43
California,06,Tulare,107,2005,8,80,8,52
California,06,Fresno,019,2005,9,107,10,81
California,06,Kern,029,2005,9,170,14,121
California,06,Los Angeles,037,2005,9,229,35,64
California,06,Merced,047,2005,9,36,5,21
California,06,Orange,059,2005,9,10,1,2
California,06,Riverside,065,2005,9,417,20,144
California,06,San Bernardino,071,2005,9,208,19,86
California,06,San Joaquin,077,2005,9,40,4,7
California,06,Solano,095,2005,9,36,3,23
California,06,Stanislaus,099,2005,9,136,9,73
California,06,Tulare,107,2005,9,40,4,18
California,06,Fresno,019,2005,10,107,10,85
California,06,Kern,029,2005,10,170,14,127
California,06,Los Angeles,037,2005,10,199,24,76
California,06,Merced,047,2005,10,24,4,11
California,06,Orange,059,2005,10,10,1,2
California,06,Riverside,065,2005,10,417,20,153
California,06,San Bernardino,071,2005,10,208,19,91
California,06,San Joaquin,077,2005,10,30,3,4
California,06,Solano,095,2005,10,36,3,23
California,06,Stanislaus,099,2005,10,136,9,81
California,06,Tulare,107,2005,10,30,3,15
California,06,Fresno,019,2005,11,21,2,15
California,06,Los Angeles,037,2005,11,130,10,40
California,06,Merced,047,2005,11,18,3,9
California,06,Orange,059,2005,11,10,1,2
California,06,Riverside,065,2005,11,402,19,156
California,06,San Bernardino,071,2005,11,208,19,91
California,06,Solano,095,2005,11,36,3,23
California,06,Stanislaus,099,2005,11,136,9,83
California,06,Los Angeles,037,2005,12,120,10,38
California,06,Merced,047,2005,12,6,1,2
California,06,Riverside,065,2005,12,402,19,156
California,06,San Bernardino,071,2005,12,208,19,91
California,06,Stanislaus,099,2005,12,120,7,70
California,06,Merced,047,2006,1,6,1,0
California,06,Riverside,065,2006,1,190,10,0
California,06,San Bernardino,071,2006,1,208,19,0
California,06,Stanislaus,099,2006,1,120,7,0
California,06,San Bernardino,071,2006,2,36,7,0
California,06,Kern,029,2006,3,36,3,0
California,06,Los Angeles,037,2006,3,119,12,0
California,06,Placer,061,2006,3,6,1,0
California,06,Riverside,065,2006,3,79,6,0
California,06,San Bernardino,071,2006,3,63,14,0
California,06,San Joaquin,077,2006,3,52,5,0
California,06,Stanislaus,099,2006,3,110,7,0
California,06,Fresno,019,2006,4,96,9,0
California,06,Kern,029,2006,4,180,15,0
California,06,Los Angeles,037,2006,4,149,15,0
California,06,Merced,047,2006,4,60,8,0
California,06,Orange,059,2006,4,10,1,0
California,06,Placer,061,2006,4,42,7,0
California,06,Riverside,065,2006,4,260,17,0
California,06,Sacramento,067,2006,4,80,5,0
California,06,San Bernardino,071,2006,4,150,18,0
California,06,San Joaquin,077,2006,4,52,5,0
California,06,Solano,095,2006,4,48,3,0
California,06,Stanislaus,099,2006,4,122,8,0
California,06,Tulare,107,2006,4,50,5,0
California,06,Fresno,019,2006,5,96,9,0
California,06,Kern,029,2006,5,180,15,0
California,06,Los Angeles,037,2006,5,149,15,0
California,06,Merced,047,2006,5,60,8,0
California,06,Orange,059,2006,5,10,1,0
California,06,Placer,061,2006,5,42,7,0
California,06,Riverside,065,2006,5,260,17,0
California,06,Sacramento,067,2006,5,80,5,0
California,06,San Bernardino,071,2006,5,150,18,0
California,06,San Joaquin,077,2006,5,52,5,0
California,06,Solano,095,2006,5,48,3,0
California,06,Stanislaus,099,2006,5,130,9,0
California,06,Tulare,107,2006,5,50,5,0
California,06,Fresno,019,2006,6,96,9,1
California,06,Kern,029,2006,6,180,15,0
California,06,Los Angeles,037,2006,6,153,16,0
California,06,Merced,047,2006,6,60,8,0
California,06,Orange,059,2006,6,10,1,0
California,06,Placer,061,2006,6,42,7,0
California,06,Riverside,065,2006,6,260,17,0
California,06,Sacramento,067,2006,6,80,5,0
California,06,San Bernardino,071,2006,6,150,18,0
California,06,San Joaquin,077,2006,6,52,5,0
California,06,Solano,095,2006,6,48,3,0
California,06,Stanislaus,099,2006,6,130,9,0
California,06,Tulare,107,2006,6,50,5,0
California,06,Fresno,019,2006,7,106,10,6
California,06,Kern,029,2006,7,180,15,62
California,06,Los Angeles,037,2006,7,149,15,1
California,06,Merced,047,2006,7,60,8,2
California,06,Orange,059,2006,7,10,1,0
California,06,Placer,061,2006,7,42,7,0
California,06,Riverside,065,2006,7,260,17,1
California,06,Sacramento,067,2006,7,80,5,0
California,06,San Bernardino,071,2006,7,150,18,6
California,06,San Joaquin,077,2006,7,52,5,0
California,06,Solano,095,2006,7,48,3,4
California,06,Stanislaus,099,2006,7,130,9,15
California,06,Tulare,107,2006,7,50,5,4
California,06,Fresno,019,2006,8,106,10,19
California,06,Kern,029,2006,8,180,15,88
California,06,Los Angeles,037,2006,8,183,28,9
California,06,Merced,047,2006,8,60,8,10
California,06,Orange,059,2006,8,10,1,0
California,06,Placer,061,2006,8,42,7,5
California,06,Riverside,065,2006,8,260,17,2
California,06,Sacramento,067,2006,8,80,5,7
California,06,San Bernardino,071,2006,8,150,18,14
California,06,San Joaquin,077,2006,8,52,5,7
California,06,Solano,095,2006,8,48,3,16
California,06,Stanislaus,099,2006,8,130,9,31
California,06,Tulare,107,2006,8,40,4,14
California,06,Fresno,019,2006,9,106,10,30
California,06,Kern,029,2006,9,180,15,105
California,06,Los Angeles,037,2006,9,178,24,16
California,06,Merced,047,2006,9,60,8,14
California,06,Orange,059,2006,9,10,1,0
California,06,Placer,061,2006,9,36,6,3
California,06,Riverside,065,2006,9,260,17,8
California,06,Sacramento,067,2006,9,80,5,7
California,06,San Bernardino,071,2006,9,150,18,23
California,06,San Joaquin,077,2006,9,52,5,7
California,06,Solano,095,2006,9,48,3,20
California,06,Stanislaus,099,2006,9,130,9,42
California,06,Tulare,107,2006,9,40,4,15
California,06,Fresno,019,2006,10,106,10,37
California,06,Kern,029,2006,10,180,15,106
California,06,Los Angeles,037,2006,10,184,27,32
California,06,Merced,047,2006,10,60,8,15
California,06,Orange,059,2006,10,10,1,0
California,06,Placer,061,2006,10,18,3,0
California,06,Riverside,065,2006,10,260,17,18
California,06,Sacramento,067,2006,10,80,5,7
California,06,San Bernardino,071,2006,10,150,18,27
California,06,San Joaquin,077,2006,10,52,5,7
California,06,Solano,095,2006,10,36,2,10
California,06,Stanislaus,099,2006,10,130,9,47
California,06,Tulare,107,2006,10,40,4,17
California,06,Kern,029,2006,11,56,6,17
California,06,Los Angeles,037,2006,11,172,23,22
California,06,Merced,047,2006,11,48,6,5
California,06,Orange,059,2006,11,10,1,0
California,06,Riverside,065,2006,11,152,7,9
California,06,Sacramento,067,2006,11,80,5,7
California,06,San Bernardino,071,2006,11,140,17,28
California,06,San Joaquin,077,2006,11,20,2,0
California,06,Solano,095,2006,11,36,2,10
California,06,Los Angeles,037,2006,12,89,7,19
California,06,Riverside,065,2006,12,131,6,7
California,06,San Bernardino,071,2006,12,140,17,28
California,06,Los Angeles,037,2007,1,121,10,0
California,06,Riverside,065,2007,1,143,7,1
California,06,Sacramento,067,2007,1,50,3,0
California,06,San Bernardino,071,2007,1,140,17,0
California,06,Los Angeles,037,2007,2,97,9,1
California,06,Riverside,065,2007,2,131,6,0
California,06,Sacramento,067,2007,2,50,3,0
California,06,San Bernardino,071,2007,2,140,17,0
California,06,Kern,029,2007,3,6,1,0
California,06,Los Angeles,037,2007,3,42,7,0
California,06,Riverside,065,2007,3,131,6,0
California,06,Sacramento,067,2007,3,50,3,0
California,06,San Bernardino,071,2007,3,24,6,0
California,06,Fresno,019,2007,4,95,9,0
California,06,Kern,029,2007,4,165,15,0
California,06,Los Angeles,037,2007,4,151,17,0
California,06,Merced,047,2007,4,48,8,0
California,06,Orange,059,2007,4,10,1,0
California,06,Placer,061,2007,4,36,6,0
California,06,Riverside,065,2007,4,266,19,1
California,06,Sacramento,067,2007,4,48,8,0
California,06,San Bernardino,071,2007,4,151,19,0
California,06,San Joaquin,077,2007,4,20,2,0
California,06,Solano,095,2007,4,36,3,0
California,06,Stanislaus,099,2007,4,111,10,0
California,06,Tulare,107,2007,4,50,5,0
California,06,Fresno,019,2007,5,95,9,0
California,06,Kern,029,2007,5,165,15,0
California,06,Los Angeles,037,2007,5,155,18,0
California,06,Merced,047,2007,5,48,8,0
California,06,Orange,059,2007,5,10,1,0
California,06,Placer,061,2007,5,36,6,0
California,06,Riverside,065,2007,5,266,19,1
California,06,Sacramento,067,2007,5,48,8,0
California,06,San Bernardino,071,2007,5,151,19,0
California,06,San Joaquin,077,2007,5,20,2,0
California,06,Solano,095,2007,5,36,3,0
California,06,Stanislaus,099,2007,5,111,10,0
California,06,Tulare,107,2007,5,50,5,0
California,06,Fresno,019,2007,6,95,9,0
California,06,Kern,029,2007,6,165,15,2
California,06,Los Angeles,037,2007,6,169,21,0
California,06,Merced,047,2007,6,48,8,0
California,06,Orange,059,2007,6,10,1,1
California,06,Placer,061,2007,6,36,6,0
California,06,Riverside,065,2007,6,266,19,1
California,06,Sacramento,067,2007,6,48,8,0
California,06,San Bernardino,071,2007,6,151,19,0
California,06,San Joaquin,077,2007,6,20,2,0
California,06,Solano,095,2007,6,36,3,0
California,06,Stanislaus,099,2007,6,111,10,0
California,06,Tulare,107,2007,6,50,5,0
California,06,Fresno,019,2007,7,95,9,10
California,06,Kern,029,2007,7,165,15,30
California,06,Los Angeles,037,2007,7,151,17,0
California,06,Merced,047,2007,7,48,8,0
California,06,Orange,059,2007,7,10,1,1
California,06,Placer,061,2007,7,36,6,0
California,06,Riverside,065,2007,7,271,20,8
California,06,Sacramento,067,2007,7,48,8,3
California,06,San Bernardino,071,2007,7,151,19,3
California,06,San Joaquin,077,2007,7,20,2,4
California,06,Solano,095,2007,7,36,3,1
California,06,Stanislaus,099,2007,7,111,10,4
California,06,Tulare,107,2007,7,50,5,0
California,06,Fresno,019,2007,8,95,9,30
California,06,Kern,029,2007,8,165,15,52
California,06,Los Angeles,037,2007,8,188,28,4
California,06,Merced,047,2007,8,48,8,2
California,06,Orange,059,2007,8,10,1,1
California,06,Placer,061,2007,8,36,6,3
California,06,Riverside,065,2007,8,271,20,24
California,06,Sacramento,067,2007,8,48,8,8
California,06,San Bernardino,071,2007,8,151,19,8
California,06,San Joaquin,077,2007,8,20,2,5
California,06,Solano,095,2007,8,36,3,5
California,06,Stanislaus,099,2007,8,111,10,14
California,06,Tulare,107,2007,8,50,5,2
California,06,Fresno,019,2007,9,95,9,36
California,06,Kern,029,2007,9,165,15,69
California,06,Los Angeles,037,2007,9,142,16,14
California,06,Merced,047,2007,9,42,7,4
California,06,Orange,059,2007,9,10,1,1
California,06,Placer,061,2007,9,36,6,3
California,06,Riverside,065,2007,9,271,20,28
California,06,Sacramento,067,2007,9,48,8,8
California,06,San Bernardino,071,2007,9,151,19,26
California,06,San Joaquin,077,2007,9,20,2,8
California,06,Solano,095,2007,9,36,3,5
California,06,Stanislaus,099,2007,9,111,10,26
California,06,Tulare,107,2007,9,50,5,23
California,06,Fresno,019,2007,10,95,9,46
California,06,Kern,029,2007,10,165,15,85
California,06,Los Angeles,037,2007,10,149,18,25
California,06,Merced,047,2007,10,42,7,9
California,06,Orange,059,2007,10,10,1,1
California,06,Placer,061,2007,10,30,5,11
California,06,Riverside,065,2007,10,271,20,40
California,06,Sacramento,067,2007,10,42,7,8
California,06,San Bernardino,071,2007,10,151,19,37
California,06,San Joaquin,077,2007,10,20,2,8
California,06,Solano,095,2007,10,36,3,7
California,06,Stanislaus,099,2007,10,111,10,37
California,06,Tulare,107,2007,10,50,5,24
California,06,Fresno,019,2007,11,31,3,12
California,06,Kern,029,2007,11,36,4,1
California,06,Los Angeles,037,2007,11,143,17,18
California,06,Merced,047,2007,11,42,7,10
California,06,Orange,059,2007,11,10,1,1
California,06,Riverside,065,2007,11,271,20,42
California,06,Sacramento,067,2007,11,12,2,5
California,06,San Bernardino,071,2007,11,148,18,37
California,06,San Joaquin,077,2007,11,20,2,8
California,06,Solano,095,2007,11,36,3,7
California,06,Stanislaus,099,2007,11,10,1,2
California,06,Riverside,065,2007,12,104,6,13
California,06,San Bernardino,071,2007,12,22,7,2
California,06,Solano,095,2007,12,12,1,0
California,06,Los Angeles,037,2008,1,80,7,0
California,06,Riverside,065,2008,1,104,6,0
California,06,San Bernardino,071,2008,1,22,7,0
California,06,Los Angeles,037,2008,2,80,7,2
California,06,Placer,061,2008,2,6,1,0
California,06,Riverside,065,2008,2,104,6,0
California,06,San Bernardino,071,2008,2,24,8,0
California,06,Los Angeles,037,2008,3,40,4,0
California,06,Riverside,065,2008,3,364,27,0
California,06,San Bernardino,071,2008,3,136,19,0
California,06,Fresno,019,2008,4,110,10,0
California,06,Kern,029,2008,4,193,16,0
California,06,Los Angeles,037,2008,4,160,15,0
California,06,Merced,047,2008,4,58,8,0
California,06,Riverside,065,2008,4,260,21,0
California,06,Sacramento,067,2008,4,48,8,0
California,06,San Bernardino,071,2008,4,136,19,0
California,06,San Joaquin,077,2008,4,10,1,0
California,06,Stanislaus,099,2008,4,109,10,0
California,06,Tulare,107,2008,4,69,6,0
California,06,Fresno,019,2008,5,110,10,0
California,06,Kern,029,2008,5,193,16,0
California,06,Los Angeles,037,2008,5,160,15,0
California,06,Merced,047,2008,5,58,8,0
California,06,Riverside,065,2008,5,260,21,0
California,06,Sacramento,067,2008,5,48,8,0
California,06,San Bernardino,071,2008,5,136,19,0
California,06,San Joaquin,077,2008,5,10,1,0
California,06,Solano,095,2008,5,36,3,0
California,06,Stanislaus,099,2008,5,109,10,0
California,06,Tulare,107,2008,5,69,6,0
California,06,Fresno,019,2008,6,110,10,0
California,06,Kern,029,2008,6,193,16,0
California,06,Los Angeles,037,2008,6,160,15,0
California,06,Merced,047,2008,6,58,8,0
California,06,Riverside,065,2008,6,260,21,2
California,06,Sacramento,067,2008,6,48,8,0
California,06,San Bernardino,071,2008,6,136,19,2
California,06,San Joaquin,077,2008,6,10,1,0
California,06,Solano,095,2008,6,36,3,0
California,06,Stanislaus,099,2008,6,109,10,0
California,06,Tulare,107,2008,6,69,6,0
California,06,Fresno,019,2008,7,110,10,0
California,06,Kern,029,2008,7,193,16,0
California,06,Los Angeles,037,2008,7,165,17,6
California,06,Merced,047,2008,7,58,8,0
California,06,Riverside,065,2008,7,270,22,21
California,06,Sacramento,067,2008,7,48,8,1
California,06,San Bernardino,071,2008,7,136,19,15
California,06,San Joaquin,077,2008,7,10,1,0
California,06,Solano,095,2008,7,36,3,0
California,06,Stanislaus,099,2008,7,109,10,2
California,06,Tulare,107,2008,7,49,5,1
California,06,Fresno,019,2008,8,110,10,5
California,06,Kern,029,2008,8,193,16,0
California,06,Los Angeles,037,2008,8,196,24,39
California,06,Merced,047,2008,8,44,7,0
California,06,Riverside,065,2008,8,260,21,36
California,06,Sacramento,067,2008,8,48,8,5
California,06,San Bernardino,071,2008,8,136,19,42
California,06,San Joaquin,077,2008,8,10,1,1
California,06,Solano,095,2008,8,36,3,0
California,06,Stanislaus,099,2008,8,109,10,5
California,06,Tulare,107,2008,8,79,7,3
California,06,Fresno,019,2008,9,110,10,13
California,06,Kern,029,2008,9,193,16,13
California,06,Los Angeles,037,2008,9,202,24,58
California,06,Merced,047,2008,9,44,7,0
California,06,Riverside,065,2008,9,250,20,75
California,06,Sacramento,067,2008,9,48,8,6
California,06,San Bernardino,071,2008,9,133,18,59
California,06,San Joaquin,077,2008,9,10,1,2
California,06,Solano,095,2008,9,36,3,0
California,06,Stanislaus,099,2008,9,109,10,34
California,06,Tulare,107,2008,9,79,7,15
California,06,Fresno,019,2008,10,110,10,24
California,06,Kern,029,2008,10,193,16,17
California,06,Los Angeles,037,2008,10,199,25,69
California,06,Merced,047,2008,10,44,7,3
California,06,Riverside,065,2008,10,250,20,96
California,06,Sacramento,067,2008,10,48,8,7
California,06,San Bernardino,071,2008,10,130,17,65
California,06,San Joaquin,077,2008,10,10,1,5
California,06,Solano,095,2008,10,36,3,7
California,06,Stanislaus,099,2008,10,101,9,34
California,06,Tulare,107,2008,10,79,7,20
California,06,Kern,029,2008,11,36,4,2
California,06,Los Angeles,037,2008,11,167,19,58
California,06,Merced,047,2008,11,44,7,3
California,06,Riverside,065,2008,11,190,14,78
California,06,San Bernardino,071,2008,11,117,15,52
California,06,San Joaquin,077,2008,11,10,1,5
California,06,Solano,095,2008,11,36,3,7
California,06,Stanislaus,099,2008,11,10,1,4
California,06,Tulare,107,2008,11,10,1,0
California,06,Los Angeles,037,2008,12,106,8,43
California,06,San Bernardino,071,2008,12,117,15,52
California,06,Los Angeles,037,2009,1,3,1,1
California,06,San Bernardino,071,2009,1,12,4,0
California,06,Los Angeles,037,2009,2,8,1,1
California,06,Kern,029,2009,3,135,10,0
California,06,Los Angeles,037,2009,3,73,10,2
California,06,Sacramento,067,2009,3,36,3,0
California,06,San Joaquin,077,2009,3,10,1,0
California,06,Stanislaus,099,2009,3,59,6,0
California,06,Fresno,019,2009,4,42,3,0
California,06,Kern,029,2009,4,185,15,0
California,06,Los Angeles,037,2009,4,135,16,0
California,06,Merced,047,2009,4,63,8,0
California,06,Riverside,065,2009,4,245,19,0
California,06,Sacramento,067,2009,4,36,3,0
California,06,San Bernardino,071,2009,4,117,11,0
California,06,San Joaquin,077,2009,4,10,1,0
California,06,Stanislaus,099,2009,4,59,6,0
California,06,Tulare,107,2009,4,49,5,0
California,06,Fresno,019,2009,5,42,3,0
California,06,Kern,029,2009,5,185,15,0
California,06,Los Angeles,037,2009,5,135,16,0
California,06,Merced,047,2009,5,63,8,0
California,06,Riverside,065,2009,5,245,19,0
California,06,Sacramento,067,2009,5,36,3,0
California,06,San Bernardino,071,2009,5,117,11,0
California,06,San Joaquin,077,2009,5,10,1,0
California,06,Solano,095,2009,5,35,3,0
California,06,Stanislaus,099,2009,5,59,6,0
California,06,Tulare,107,2009,5,49,5,0
California,06,Fresno,019,2009,6,42,3,0
California,06,Kern,029,2009,6,185,15,0
California,06,Los Angeles,037,2009,6,135,16,1
California,06,Merced,047,2009,6,50,7,0
California,06,Riverside,065,2009,6,245,19,0
California,06,Sacramento,067,2009,6,36,3,0
California,06,San Bernardino,071,2009,6,117,11,0
California,06,San Joaquin,077,2009,6,10,1,0
California,06,Solano,095,2009,6,35,3,0
California,06,Stanislaus,099,2009,6,59,6,0
California,06,Tulare,107,2009,6,49,5,0
California,06,Fresno,019,2009,7,42,3,0
California,06,Kern,029,2009,7,185,15,5
California,06,Los Angeles,037,2009,7,157,21,14
California,06,Merced,047,2009,7,63,8,0
California,06,Riverside,065,2009,7,245,19,1
California,06,Sacramento,067,2009,7,36,3,1
California,06,San Bernardino,071,2009,7,117,11,4
California,06,San Joaquin,077,2009,7,10,1,1
California,06,Solano,095,2009,7,35,3,1
California,06,Stanislaus,099,2009,7,59,6,0
California,06,Tulare,107,2009,7,49,5,3
California,06,Fresno,019,2009,8,42,3,0
California,06,Kern,029,2009,8,185,15,47
California,06,Los Angeles,037,2009,8,254,36,21
California,06,Merced,047,2009,8,63,8,6
California,06,Riverside,065,2009,8,245,19,14
California,06,Sacramento,067,2009,8,36,3,2
California,06,San Bernardino,071,2009,8,120,12,5
California,06,San Joaquin,077,2009,8,10,1,9
California,06,Solano,095,2009,8,35,3,1
California,06,Stanislaus,099,2009,8,59,6,7
California,06,Tulare,107,2009,8,49,5,15
California,06,Fresno,019,2009,9,42,3,6
California,06,Kern,029,2009,9,185,15,98
California,06,Los Angeles,037,2009,9,250,35,29
California,06,Merced,047,2009,9,63,8,12
California,06,Riverside,065,2009,9,245,19,27
California,06,Sacramento,067,2009,9,36,3,2
California,06,San Bernardino,071,2009,9,133,19,12
California,06,San Joaquin,077,2009,9,10,1,10
California,06,Solano,095,2009,9,35,3,8
California,06,Stanislaus,099,2009,9,59,6,23
California,06,Tulare,107,2009,9,49,5,19
California,06,Fresno,019,2009,10,42,3,10
California,06,Kern,029,2009,10,144,11,91
California,06,Los Angeles,037,2009,10,250,35,32
California,06,Merced,047,2009,10,57,7,8
California,06,Riverside,065,2009,10,245,19,36
California,06,Sacramento,067,2009,10,36,3,2
California,06,San Bernardino,071,2009,10,131,18,12
California,06,Solano,095,2009,10,35,3,13
